Censo,Cuadro,Provincia,Departamento,Unidad de registro,Indicador,Valor,Link
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"Hectárea | 5.000,1 - 7.500",13899.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"Hectárea | 7.500,1 - 10.000",0.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"Hectárea | 10.000,1 - 20.000",11031.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,Hectárea | Más de 20.000,0.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,EAP | Total,40.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,EAP | EAP sin límites definidos,0.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,EAP | EAP con límites definidos,40.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,EAP | Hasta 5,23.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"EAP | 5,1 - 10",11.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"EAP | 10,1 - 25",2.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"EAP | 25,1 - 50",3.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"EAP | 50,1 - 100",0.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"EAP | 100,1 - 200",1.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"EAP | 200,1 - 500",0.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"EAP | 500,1 - 1.000",0.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"EAP | 1.000,1 - 1.500",0.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"EAP | 1.500,1 - 2.000",0.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"EAP | 2.000,1 - 2.500",0.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"EAP | 2.500,1 - 3.500",0.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"EAP | 3.500,1 - 5.000",0.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"EAP | 5.000,1 - 7.500",0.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"EAP | 7.500,1 - 10.000",0.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"EAP | 10.000,1 - 20.000",0.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,EAP | Más de 20.000,0.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,Hectárea | Total,387.8,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,Hectárea | EAP sin límites definidos,-1.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,Hectárea | EAP con límites definidos,387.8,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,Hectárea | Hasta 5,46.8,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"Hectárea | 5,1 - 10",86.5,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"Hectárea | 10,1 - 25",31.5,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"Hectárea | 25,1 - 50",121.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"Hectárea | 50,1 - 100",0.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"Hectárea | 100,1 - 200",102.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"Hectárea | 200,1 - 500",0.0,06028
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,almirante brown,Mixta,"Hectárea | 500,1 - 1.000",0.0,06028
